Work_ID,MP_Name,State,Constituency,Work_Type,District,Date,Amount,Payment_Status,work_description,risk_score,risk_level,reason,cost_score,cost_z,cost_ratio,cost_peer_group,mismatch_score,Declared_Work_Type,Predicted_Work_Type,Confidence_In_Declared_Type,conc_score,conc_score_per_work,conc_ratio,portfolio_share,dup_score,dup_similarity,duplicate_of_work_id,dup_amount_corroborated,dup_reason,comparison_group,evidence
WS/MP18227/2024-2025/148772,DAROGA PRASAD SAROJ,Uttar Pradesh,LALGANJ (SC),Lighting of public spaces,AZAMGARH,25-Mar-2026,1206957.0,Completed,tahsil bar me solar painal ka nirmad,92,Critical - Priority Investigation,"Cost is 6.9x the median for 'Lighting of public spaces' works in Uttar Pradesh (₹1,206,957 (₹12.07 lakh) vs. median ₹176,130 (₹1.76 lakh), n=1218 comparable works). | Description reads as 'Street lights', not the declared 'Lighting of public spaces' (model gives the declared category only 3.5% match confidence). | 100% text-similar AND same claimed amount as another 'Lighting of public spaces' work by the same MP (WS/MP18227/2024-2025/148771) — check for duplicate or split-billed claim.",40,5.153634745382261,6.852648611820816,state,22,Lighting of public spaces,Street lights,0.0348,0,0,1.4912695800681348,0.2996371443920467,30,1.0,WS/MP18227/2024-2025/148771,True,100% text-similar AND same claimed amount as another 'Lighting of public spaces' work by the same MP (WS/MP18227/2024-2025/148771) — check for duplicate or split-billed claim.,Lighting of public spaces,"{'cost_anomaly': {'score': 40, 'z': 5.15, 'ratio_to_peer_median': 6.85, 'peer_group_scope': 'state'}, 'text_mismatch': {'score': 22, 'declared_type_confidence': 0.0348}, 'mp_category_concentration': {'score': 0, 'score_per_work': 0, 'ratio_to_peer_mp_median': 1.49, 'portfolio_share': 0.3}, 'duplicate_work': {'score': 30, 'similarity': 1.0, 'duplicate_of_work_id': 'WS/MP18227/2024-2025/148771', 'amount_corroborated': True}}"
WS/MP18040/2025-2026/184184,RAJ BHUSHAN CHOUDHARY,Bihar,MUZAFFARPUR,Purchase of furniture and fixtures for educational purposes,MUZAFFARPUR,24-May-2025,4980000.0,Completed,Purchase of book shelves for library of govt schools.,73,Critical - Priority Investigation,"Cost is 5.0x the median for 'Purchase of furniture and fixtures for educational purposes' works nationally (₹4,980,000 (₹49.80 lakh) vs. median ₹1,000,000 (₹10.00 lakh), n=53 comparable works). | Description reads as 'Purchase Books for Library', not the declared 'Purchase of furniture and fixtures for educational purposes' (model gives the declared category only 1.5% match confidence). | 100% text-similar AND same claimed amount as another 'Purchase of furniture and fixtures for educational purposes' work by the same MP (WS/MP18040/2024-2025/157358) — check for duplicate or split-billed claim.",13,2.316388287307243,4.980000000000002,national,30,Purchase of furniture and fixtures for educational purposes,Purchase Books for Library,0.0148,0,0,5.718738504761746,0.23454457789334934,30,1.0,WS/MP18040/2024-2025/157358,True,100% text-similar AND same claimed amount as another 'Purchase of furniture and fixtures for educational purposes' work by the same MP (WS/MP18040/2024-2025/157358) — check for duplicate or split-billed claim.,Purchase of furniture and fixtures for educational purposes,"{'cost_anomaly': {'score': 13, 'z': 2.32, 'ratio_to_peer_median': 4.98, 'peer_group_scope': 'national'}, 'text_mismatch': {'score': 30, 'declared_type_confidence': 0.0148}, 'mp_category_concentration': {'score': 0, 'score_per_work': 0, 'ratio_to_peer_mp_median': 5.72, 'portfolio_share': 0.235}, 'duplicate_work': {'score': 30, 'similarity': 1.0, 'duplicate_of_work_id': 'WS/MP18040/2024-2025/157358', 'amount_corroborated': True}}"
WS/MP18377/2024-2025/152274,CHHATRA PAL SINGH GANGWAR,Uttar Pradesh,BAREILLY,Street lights,BAREILLY,13-Sep-2025,854043.0,Completed,NAWABGANJ - BHADPURA BLOCK KE 39 GRAM ME STREET LIGHTS,70,Critical - Priority Investigation,"Cost is 3.8x the median for 'Street lights' works in Uttar Pradesh (₹854,043 (₹8.54 lakh) vs. median ₹222,921 (₹2.23 lakh), n=745 comparable works). | 100% text-similar AND same claimed amount as another 'Street lights' work by the same MP (WS/MP18377/2024-2025/152271) — check for duplicate or split-billed claim.",40,3.6952511787351234,3.8311464599566674,state,0,Street lights,Street lights,0.2029,0,0,6.628200624312793,0.6683202482332223,30,1.0,WS/MP18377/2024-2025/152271,True,100% text-similar AND same claimed amount as another 'Street lights' work by the same MP (WS/MP18377/2024-2025/152271) — check for duplicate or split-billed claim.,Street lights,"{'cost_anomaly': {'score': 40, 'z': 3.7, 'ratio_to_peer_median': 3.83, 'peer_group_scope': 'state'}, 'text_mismatch': {'score': 0, 'declared_type_confidence': 0.2029}, 'mp_category_concentration': {'score': 0, 'score_per_work': 0, 'ratio_to_peer_mp_median': 6.63, 'portfolio_share': 0.668}, 'duplicate_work': {'score': 30, 'similarity': 1.0, 'duplicate_of_work_id': 'WS/MP18377/2024-2025/152271', 'amount_corroborated': True}}"
WS/MP393/2024-2025/144442,Shri Karti P Chidambaram,Tamil Nadu,SIVAGANGA,Installing community drinking water plants,SIVAGANGA,10-Oct-2024,350000.0,Completed,"Providing in (MPLADS 2021-22) R.O.Plant near Gowri Vinayagar Kovil, Thambipatti, Thirupathur Town Panchayat",70,Critical - Priority Investigation,"Cost is 1.5x the median for 'Installing community drinking water plants' works nationally (₹350,000 (₹3.50 lakh) vs. median ₹232,814 (₹2.33 lakh), n=187 comparable works). | Description reads as 'Street lights', not the declared 'Installing community drinking water plants' (model gives the declared category only 2.8% match confidence).",40,226.8884350256895,1.5033460187102146,national,30,Installing community drinking water plants,Street lights,0.0276,0,0,0.6016751217747374,0.05741992586267287,0,0.0,,False,,Installing community drinking water plants,"{'cost_anomaly': {'score': 40, 'z': 226.89, 'ratio_to_peer_median': 1.5, 'peer_group_scope': 'national'}, 'text_mismatch': {'score': 30, 'declared_type_confidence': 0.0276}, 'mp_category_concentration': {'score': 0, 'score_per_work': 0, 'ratio_to_peer_mp_median': 0.6, 'portfolio_share': 0.057}, 'duplicate_work': {'score': 0, 'similarity': 0.0, 'duplicate_of_work_id': None, 'amount_corroborated': False}}"
WS/MP18191/2025-2026/168798,ARUNA. D. K,Telangana,MAHABUBNAGAR,Lighting of public spaces,Narayanpet,01-May-2025,200000.0,Completed,Erection of High mast with LED Flood Lights at SC Colony,70,Critical - Priority Investigation,"Cost is 2.0x the median for 'Lighting of public spaces' works in Telangana (₹200,000 (₹2.00 lakh) vs. median ₹99,976, n=103 comparable works). | 100% text-similar AND same claimed amount as another 'Lighting of public spaces' work by the same MP (WS/MP18191/2024-2025/168750) — check for duplicate or split-billed claim.",40,210.38653122443623,2.0004801152276532,state,0,Lighting of public spaces,Lighting of public spaces,0.3829,0,0,2.5747719179645907,0.7853510660209729,30,1.0,WS/MP18191/2024-2025/168750,True,100% text-similar AND same claimed amount as another 'Lighting of public spaces' work by the same MP (WS/MP18191/2024-2025/168750) — check for duplicate or split-billed claim.,Lighting of public spaces,"{'cost_anomaly': {'score': 40, 'z': 210.39, 'ratio_to_peer_median': 2.0, 'peer_group_scope': 'state'}, 'text_mismatch': {'score': 0, 'declared_type_confidence': 0.3829}, 'mp_category_concentration': {'score': 0, 'score_per_work': 0, 'ratio_to_peer_mp_median': 2.57, 'portfolio_share': 0.785}, 'duplicate_work': {'score': 30, 'similarity': 1.0, 'duplicate_of_work_id': 'WS/MP18191/2024-2025/168750', 'amount_corroborated': True}}"
WS/MP18039/2024-2025/152030,RAJESH VERMA,Bihar,KHAGARIA,Lighting of public spaces,KHAGARIA,03-Jul-2025,964000.0,Completed,Supply and installation work of highmask light,70,Critical - Priority Investigation,"Cost is 1.0x the median for 'Lighting of public spaces' works in Bihar (₹964,000 (₹9.64 lakh) vs. median ₹921,000 (₹9.21 lakh), n=102 comparable works). | 100% text-similar AND same claimed amount as another 'Lighting of public spaces' work by the same MP (WS/MP18039/2024-2025/150042) — check for duplicate or split-billed claim.",40,9.759361163599742,1.0466883821932675,state,0,Lighting of public spaces,Lighting of public spaces,0.1179,0,0,8.070431169185424,0.5839695690313833,30,1.0,WS/MP18039/2024-2025/150042,True,100% text-similar AND same claimed amount as another 'Lighting of public spaces' work by the same MP (WS/MP18039/2024-2025/150042) — check for duplicate or split-billed claim.,Lighting of public spaces,"{'cost_anomaly': {'score': 40, 'z': 9.76, 'ratio_to_peer_median': 1.05, 'peer_group_scope': 'state'}, 'text_mismatch': {'score': 0, 'declared_type_confidence': 0.1179}, 'mp_category_concentration': {'score': 0, 'score_per_work': 0, 'ratio_to_peer_mp_median': 8.07, 'portfolio_share': 0.584}, 'duplicate_work': {'score': 30, 'similarity': 1.0, 'duplicate_of_work_id': 'WS/MP18039/2024-2025/150042', 'amount_corroborated': True}}"
WS/MP428/2024-2025/143950,Santosh Pandey,Chhattisgarh,RAJNANDGAON,Purchase of books and periodicals for libraries/digitization of library books,Mohla-Manpur-Ambagarh Chouki,20-Jan-2025,2499475.0,Completed,Book Supply in 25 Govt. School of MMC District,70,Critical - Priority Investigation,"Cost is 5.3x the median for 'Purchase of books and periodicals for libraries/digitization of library books' works nationally (₹2,499,475 (₹24.99 lakh) vs. median ₹473,826 (₹4.74 lakh), n=102 comparable works). | Description reads as 'Construction of rooms and halls in school and colleges', not the declared 'Purchase of books and periodicals for libraries/digitization of library books' (model gives the declared category only 1.7% match confidence).",40,21.88203943960368,5.2750904340411875,national,30,Purchase of books and periodicals for libraries/digitization of library books,Construction of rooms and halls in school and colleges,0.0171,0,0,3.5706785714285703,0.3359797068646872,0,0.0,,False,,Purchase of books and periodicals for libraries/digitization of library books,"{'cost_anomaly': {'score': 40, 'z': 21.88, 'ratio_to_peer_median': 5.28, 'peer_group_scope': 'national'}, 'text_mismatch': {'score': 30, 'declared_type_confidence': 0.0171}, 'mp_category_concentration': {'score': 0, 'score_per_work': 0, 'ratio_to_peer_mp_median': 3.57, 'portfolio_share': 0.336}, 'duplicate_work': {'score': 0, 'similarity': 0.0, 'duplicate_of_work_id': None, 'amount_corroborated': False}}"
WS/MP18377/2024-2025/152275,CHHATRA PAL SINGH GANGWAR,Uttar Pradesh,BAREILLY,Street lights,BAREILLY,13-Sep-2025,854043.0,Completed,NAWABGANJ - BHADPURA BLOCK KE 39 GRAM ME STREET LIGHTS,70,Critical - Priority Investigation,"Cost is 3.8x the median for 'Street lights' works in Uttar Pradesh (₹854,043 (₹8.54 lakh) vs. median ₹222,921 (₹2.23 lakh), n=745 comparable works). | 100% text-similar AND same claimed amount as another 'Street lights' work by the same MP (WS/MP18377/2024-2025/152271) — check for duplicate or split-billed claim.",40,3.6952511787351234,3.8311464599566674,state,0,Street lights,Street lights,0.2012,0,0,6.628200624312793,0.6683202482332223,30,1.0,WS/MP18377/2024-2025/152271,True,100% text-similar AND same claimed amount as another 'Street lights' work by the same MP (WS/MP18377/2024-2025/152271) — check for duplicate or split-billed claim.,Street lights,"{'cost_anomaly': {'score': 40, 'z': 3.7, 'ratio_to_peer_median': 3.83, 'peer_group_scope': 'state'}, 'text_mismatch': {'score': 0, 'declared_type_confidence': 0.2012}, 'mp_category_concentration': {'score': 0, 'score_per_work': 0, 'ratio_to_peer_mp_median': 6.63, 'portfolio_share': 0.668}, 'duplicate_work': {'score': 30, 'similarity': 1.0, 'duplicate_of_work_id': 'WS/MP18377/2024-2025/152271', 'amount_corroborated': True}}"
WS/MP437/2025-2026/178994,Vishnu Dayal Ram,Jharkhand,PALAMU(SC),Installing hand pumps,PALAMU,21-Sep-2025,150000.0,Completed,Installation of hand pump near Geeta Bhawan in ward number 24,70,Critical - Priority Investigation,"Cost is 2.0x the median for 'Installing hand pumps' works nationally (₹150,000 (₹1.50 lakh) vs. median ₹73,926, n=234 comparable works). | Description reads as 'Installing tube-wells and borewells', not the declared 'Installing hand pumps' (model gives the declared category only 2.1% match confidence).",40,5880.03794076504,2.0290560831101354,national,30,Installing hand pumps,Installing tube-wells and borewells,0.0205,0,0,0.7499999999999998,0.011729850287228843,0,0.0,,False,,Installing hand pumps,"{'cost_anomaly': {'score': 40, 'z': 5880.04, 'ratio_to_peer_median': 2.03, 'peer_group_scope': 'national'}, 'text_mismatch': {'score': 30, 'declared_type_confidence': 0.0205}, 'mp_category_concentration': {'score': 0, 'score_per_work': 0, 'ratio_to_peer_mp_median': 0.75, 'portfolio_share': 0.012}, 'duplicate_work': {'score': 0, 'similarity': 0.0, 'duplicate_of_work_id': None, 'amount_corroborated': False}}"
WS/MP18377/2024-2025/152277,CHHATRA PAL SINGH GANGWAR,Uttar Pradesh,BAREILLY,Street lights,BAREILLY,13-Sep-2025,854043.0,Completed,NAWABGANJ - BHADPURA BLOCK KE 39 GRAM ME STREET LIGHTS,70,Critical - Priority Investigation,"Cost is 3.8x the median for 'Street lights' works in Uttar Pradesh (₹854,043 (₹8.54 lakh) vs. median ₹222,921 (₹2.23 lakh), n=745 comparable works). | 100% text-similar AND same claimed amount as another 'Street lights' work by the same MP (WS/MP18377/2024-2025/152271) — check for duplicate or split-billed claim.",40,3.6952511787351234,3.8311464599566674,state,0,Street lights,Street lights,0.2029,0,0,6.628200624312793,0.6683202482332223,30,1.0,WS/MP18377/2024-2025/152271,True,100% text-similar AND same claimed amount as another 'Street lights' work by the same MP (WS/MP18377/2024-2025/152271) — check for duplicate or split-billed claim.,Street lights,"{'cost_anomaly': {'score': 40, 'z': 3.7, 'ratio_to_peer_median': 3.83, 'peer_group_scope': 'state'}, 'text_mismatch': {'score': 0, 'declared_type_confidence': 0.2029}, 'mp_category_concentration': {'score': 0, 'score_per_work': 0, 'ratio_to_peer_mp_median': 6.63, 'portfolio_share': 0.668}, 'duplicate_work': {'score': 30, 'similarity': 1.0, 'duplicate_of_work_id': 'WS/MP18377/2024-2025/152271', 'amount_corroborated': True}}"
WS/MP423/2025-2026/191020,Ramprit Mandal,Bihar,JHANJHARPUR,Construction of road under bridge,MADHUBANI,13-Jan-2026,789685.0,Completed,BLOCK ANDHRATHARHI ANARGAT PANCHAYAT MARUKIYA KE DHAKJARI GOANV ME RAMNATH CHAUDHARY KE GHAR SE LEKAR SCHOOL TAK PCC SADAK KA NIRMAN KARYA,70,Critical - Priority Investigation,"Cost is 1.6x the median for 'Construction of road under bridge' works nationally (₹789,685 (₹7.90 lakh) vs. median ₹500,000 (₹5.00 lakh), n=10 comparable works). | Description reads as 'Construction of roads, link roads, pathways or any other road with or without drainage system', not the declared 'Construction of road under bridge' (model gives the declared category only 0.7% match confidence).",40,301.3198690681225,1.5793700000000008,national,30,Construction of road under bridge,"Construction of roads, link roads, pathways or any other road with or without drainage system",0.0068,0,0,0.8190262014329536,0.02618008294042295,0,0.0,,False,,Construction of road under bridge,"{'cost_anomaly': {'score': 40, 'z': 301.32, 'ratio_to_peer_median': 1.58, 'peer_group_scope': 'national'}, 'text_mismatch': {'score': 30, 'declared_type_confidence': 0.0068}, 'mp_category_concentration': {'score': 0, 'score_per_work': 0, 'ratio_to_peer_mp_median': 0.82, 'portfolio_share': 0.026}, 'duplicate_work': {'score': 0, 'similarity': 0.0, 'duplicate_of_work_id': None, 'amount_corroborated': False}}"
WS/MP517/2024-2025/137539,Rajkumar Chahar,Uttar Pradesh,FATEHPUR SIKRI,Lighting of public spaces,AGRA,12-Mar-2025,2740998.0,Completed,"dhimsri near bhanu sharma house, In chachipura khander near shanti devi house, Pitawali pokhar station curve,Bhilpura near ramnivas jaudan house,In teeketpura near naresh dhakare house,barana near girraj verma house,pinnapura Ai near Santosh Shastri house Behadi near sachivalay,chatariya pura ravindra baghel house repura yogendra sikarwar house,purani tahsil fatehabad near babita chauhan house,mohammadpur me near narendra pal singh house old no 7896 srno 22,25,26,28,29,30,31,32,34,36,37,38",70,Critical - Priority Investigation,"Cost is 15.6x the median for 'Lighting of public spaces' works in Uttar Pradesh (₹2,740,998 (₹27.41 lakh) vs. median ₹176,130 (₹1.76 lakh), n=1218 comparable works). | Description reads as 'Construction of roads, link roads, pathways or any other road with or without drainage system', not the declared 'Lighting of public spaces' (model gives the declared category only 2.9% match confidence).",40,7.349953837310354,15.562357349684895,state,30,Lighting of public spaces,"Construction of roads, link roads, pathways or any other road with or without drainage system",0.0294,0,0,16.797852011302542,0.9349654315874751,0,0.0,,False,,Lighting of public spaces,"{'cost_anomaly': {'score': 40, 'z': 7.35, 'ratio_to_peer_median': 15.56, 'peer_group_scope': 'state'}, 'text_mismatch': {'score': 30, 'declared_type_confidence': 0.0294}, 'mp_category_concentration': {'score': 0, 'score_per_work': 0, 'ratio_to_peer_mp_median': 16.8, 'portfolio_share': 0.935}, 'duplicate_work': {'score': 0, 'similarity': 0.0, 'duplicate_of_work_id': None, 'amount_corroborated': False}}"
